wave	lanes
wave0	orch
wave1	ws1,ws3
wave2	ws2,ws4
wave3	ws5,ws6
wave4	ws7
wave5	ws8
sb-wave0	sb0
sb-wave1	sb1,sb2,sb3
sb-wave2	sb5
sb-wave3	sb4
sb-wave4	sb6,sb7
sb-wave5	sb8,sb9
sb-wave6	sb10,sb11
sb-wave7	sb12,sb13
sb-wave8	sb14,sb15
sb-wave9	sb16,sb17
sdk-wave0	sdk-orch
sdk-wave1	sdk-py1,sdk-go1
sdk-wave2	sdk-py2,sdk-go2
sdk-wave3	sdk-orch
macos-es-ne-wave0	macos-es-ne-orch
macos-es-ne-wave1	macos-es-ne-host
macos-es-ne-wave2	macos-es-ne-rhost
macos-es-ne-wave3	macos-es-ne-polat
macos-es-ne-wave4	macos-es-ne-rpolat
macos-es-ne-wave5	macos-es-ne-esint,macos-es-ne-neint
macos-es-ne-wave6	macos-es-ne-resint,macos-es-ne-rneint
macos-es-ne-wave7	macos-es-ne-pkg
macos-es-ne-wave8	macos-es-ne-rpkg
macos-es-ne-wave9	macos-es-ne-orch
